ProviderId,FirstName,LastName,Specialty,Npi,Taxonomy,CmsSpecialtyCode,ClinicId,Address,City,State,Zip,Lat,Lon
761edd8b-a791-3526-ac3b-3db6a8a2f9d8,Graham902,Smitham825,Family Medicine,2209411687,207Q00000X,08,86bc61ed-4a20-353b-a138-b1bbe58ff272,9063 POINT CYPRESS DR,ORLANDO,FL,328365475,28.5421109,-81.3790304
e697d283-639a-3e95-be6a-5902740f1aaf,Lloyd546,Herzog843,Family Medicine,1428191450,207Q00000X,08,256d011b-bb04-3a20-8e50-df127b38c344,710 ALTON RD,MIAMI BEACH,FL,331395504,25.7772236,-80.1412172
89e7bba7-4475-31dd-bbf3-174742d31d8b,Bud153,Cassin499,Family Medicine,1014652790,207Q00000X,08,843b023d-c5ed-3835-8c34-d4eb36ef8d4d,2525 SW 75TH AVE,MIAMI,FL,331552800,25.7468683,-80.31648450183764
fbe46f46-4d68-3a1e-907d-bc24dec7d5d7,Bella510,Pfeffer420,Internal Medicine,2595823420,207R00000X,11,2012392b-858c-31d0-bb04-4b76bc19edc4,10443 NW 29TH CT,MIAMI,FL,331471149,25.869733150000002,-80.24570450170756
7bff4fe5-36cd-3915-89f5-abe0131db1e6,Débora815,Estrada938,Family Medicine,1439372362,207Q00000X,08,05f266aa-b9d3-3a50-bf84-e274bc40c159,10300 SUNSET DR  STE 460  UNIT 6,MIAMI,FL,33173,25.804427,-80.1451234
f235e09d-4351-3948-a4da-75ed3e088f29,Jordan900,Aufderhar910,Family Medicine,1830288340,207Q00000X,08,444d9ea6-1ec0-37fe-982a-2e726791aafa,3990 WEST FLAGLER STREET,CORAL GABLES,FL,331341644,25.72149,-80.2683838
e69c3614-c3fb-3497-9024-17cc5c84adf9,Mónica985,Soria950,Internal Medicine,1366413692,207R00000X,11,fc37ce82-86cd-3e3c-9e45-a149e9f5df92,490 E HIALEAH DRIVE,HIALEAH,FL,330103766,25.8226719,-80.2802223
1a700d92-1e3c-3220-ab09-049c0d05bf2e,Leonardo412,Pagac496,Internal Medicine,1794885073,207R00000X,11,79feede5-d0d7-3d41-bf7c-87b28ae39aa0,5200 NE 2ND AVENUE,MIAMI,FL,331372706,25.8237323,-80.19296
17958274-7bee-3ef6-a853-c7f5bc6a7cb3,Eva64,Ornelas92,Family Medicine,2360544490,207Q00000X,08,d497efae-7135-3219-a793-cb966b8015dd,651 E 25TH ST,HIALEAH,FL,330123814,25.845535650000002,-80.26862207729306
d09bc8f3-42ff-3cee-bea3-2b3e1ecdb43f,Carlota980,Martínez540,Family Medicine,1206754958,207Q00000X,08,ea482524-7a76-309d-b50f-08b0c5c33bee,651 E 25TH ST,HIALEAH,FL,330123814,25.845535650000002,-80.26862207729306
421225e2-89b9-3a0e-9cc5-447d5e0de301,María,Pulido715,Internal Medicine,1189388089,207R00000X,11,0a52018e-775b-380d-a09c-bc04f8f34bdc,47 NW 32ND PLACE,MIAMI,FL,331254914,25.7728212,-80.2485969
